title,authors,publication_year,doi,source,abstract
"Digital Twin of the European Electricity Grid: A Review of Regulatory Barriers, Technological Challenges, and Economic Opportunities","B. Jørgensen, Z. Ma",2025,10.3390/app15126475,https://www.semanticscholar.org/,"The European Union (EU) is advancing a digital twin of its electricity grid as a flagship initiative to accelerate the dual transitions of decarbonization and digitalization. By creating a real-time virtual replica of the EU-27 power network, policymakers and industry stakeholders aim to enhance grid efficiency, resilience, and renewable energy integration. This review provides a comprehensive analysis of the three critical dimensions shaping the digital twin’s development: (1) regulatory barriers, including fragmented policies, inconsistent data governance frameworks, and the need for harmonized standards and incentives across member states; (2) technological challenges, such as achieving interoperability, integrating real-time data, developing robust cybersecurity measures, and ensuring scalable infrastructure; and (3) economic opportunities, centered on potential cost savings, optimized asset management, new flexibility services, and pathways for innovation and investment. Drawing on European Commission policy documents, regulatory reports, academic studies, and industry projects like the Horizon Europe TwinEU initiative, this review highlights that significant groundwork has been laid to prototype and federate local grid twins into a cohesive continental system. However, achieving the full potential of a pan-European digital twin will require additional regulatory harmonization, more mature data-sharing protocols, and sustained financial commitment. This review concludes with an outlook on the strategic convergence of policy reforms, collaborative R&D, and targeted funding, emphasizing how institutional momentum, federated architectures, and cross-sector integration are advancing a secure, resilient, and economically viable digital twin that is envisioned as a foundational layer in the operational and planning infrastructure of Europe’s future electricity system."
Securing critical infrastructures with a cybersecurity digital twin,"M. Masi, G. Sellitto, Helder Aranha, Tanja Pavleska",2023,10.1007/s10270-022-01075-0,https://www.semanticscholar.org/,
Dual-Driven Resource Management for Sustainable Computing in the Blockchain-Supported Digital Twin IoT,"Dan Wang, Bo Li, Bin Song, Yingjie Liu, K. Muhammad, Xiaokang Zhou",2023,10.1109/jiot.2022.3162714,https://www.semanticscholar.org/,"Nowadays, emerging sixth-generation (6G) mobile networks, the Internet of Things (IoT), and mobile-edge computing (MEC) technologies have played significant roles in developing a sustainable computing network. In sustainable computing networks, with the increasing scale of data-driven applications, massive privacy-sensitive data are generated. How to effectively process such data on resource-limited IoT devices is challenging. Although edge intelligence (EI) is designed to maintain an appropriate level of ultradelay reliability, low-latency communication (URLLC), real-time data processing, and security and privacy are concerning. In this article, we propose a novel blockchain-supported hierarchical digital twin IoT (HDTIoT) framework, which combines the digital twin to edge network and adopts blockchain technology to achieve secure and reliable real-time computation. We first propose a data and knowledge dual-driven learning solution to ensure real-time interaction and efficient optimization between the physical and the digital worlds. To improve communication and computation efficiency with data and knowledge dual-driven learning, the optimization goal is to minimize the system delay and energy consumption and ensure system reliability and the learning accuracy of IoT devices. Moreover, we propose a proximal policy optimization (PPO)-based multiagent reinforcement learning (MARL) algorithm to solve the resource allocation (RA) problem. Experimental results show that the proposed RA scheme can improve the efficiency of the HDTIoT system, guarantee learning accuracy, reliability, and security, and make a balance between system delay and energy consumption."
Hi‐Z fault location identification on low voltage distribution systems using IoT‐based digital twin model computation,Balakrishna Pamulaparthy,2024,10.1049/dgt2.12009,https://www.semanticscholar.org/,"Distribution feeders carry and supply power to industrial, commercial and residential loads from the point where sub‐transmission (33 kV level) ends after stepping down to suitable voltages, such as 11 kV and further down to 400/230 V. In recent times, high impedance (Hi‐Z) faults on distribution systems are creating unique challenges to utilities both from operational and safety perspectives. Most of these Hi‐Z faults occur at distribution voltages of 15 kV or below, with the problem being worse at lower voltages. Hi‐Z fault detection technologies emerged and were developed and incorporated on embedded platforms, such as relays, reclosers and sensors, which protect and monitor distribution systems. Although these technologies can detect Hi‐Z fault on feeders, most of them cannot identify the exact location of the fault. Specifically, there is no solution available in literature for detecting Hi‐Z fault location on low voltage (LV) circuits like 3‐phase 4‐wire 400 V distribution network. In this paper, we introduce a novel and a unique algorithm to identify the location of Hi‐Z faults using proposed smart metres IoT data‐based distribution system load flow and digital twin model representation of the network. Furthermore, a case study on the standard 33 bus LV system clearly depicts the functionality of the proposed algorithm."
Digital Twin and Cybersecurity in Additive Manufacturing,Lidong Wang,2024,10.62915/2472-2707.1201,https://www.semanticscholar.org/,
Digital Twin-Based Monitoring System of Induction Motors Using IoT Sensors and Thermo-Magnetic Finite Element Analysis,"J. F. Santos, B. K. Tshoombe, Lucas H. B. Santos, Ramon C. F. Araújo, Allan R. A. Manito, W.S. Fonseca, Marcelo O. Silva",2023,10.1109/access.2022.3232063,https://www.semanticscholar.org/,"Electric induction motors are the type of motor most commonly operated in industry, and for this reason technologies that predict faults and reduce the corrective maintenance are of great interest. In this context, this paper presents a predictive maintenance tool of electric motors using the concepts of Digital Twin (DT) and Industrial Internet of Things (IIoT). The proposed system is innovative, as it monitors the motor current and temperature by means of sensors and a low-cost acquisition module, and these measurements are sent via Wi-Fi to a database. The concept of DT was leveraged by providing the measurements as inputs to a high-fidelity strongly-coupled model of the monitored monitor, using the Finite Element Method (FEM). The results obtained are satisfactory, because the sensors used presented acceptable errors that do not interfere with the reliability of the results. The computer simulation showed relative errors below 4% in the conductivity analysis and 10% in the temperature analysis. In addition, the simulation allows verifying the internal temperature of the motor, its resistive losses, and the intensity of the magnetic flux at each pole. It is worth pointing out that the internal analysis performed is only possible due to the combination of IIoT and computer simulations. Therefore, they allow a better diagnosis of the motor’s operational status and also a time estimate for the next maintenance service, thus being ideal for the industrial sector."
Security and Privacy Issues in IoT-Based Big Data Cloud Systems in a Digital Twin Scenario,"C. Stergiou, E. Bompoli, Konstantinos E. Psannis",2023,10.3390/app13020758,https://www.semanticscholar.org/,"Due to its unique type of services, Cloud Computing could operate as a “base technology” for other technologies; this attracts researchers to develop sustainable Cloud systems. It is a new generation of services that offers an opportunity for users to access and manage their information, applications, and data regardless of place and time. Nevertheless, there is a type of service that can include large amounts of data, called Big Data, and it consists of the rapid use of the Internet of Things (IoT) to produce large data sets. In this work, initially, we present Cloud Computing (CC) and Big Data (BD) exported from IoT, focusing on the security and management challenges of both. Notably, we combine the two aforementioned technologies to examine their related characteristics and discover new perspectives and opportunities for their integration and to achieve a sustainable environment called a Digital Twin scenario. Subsequently, we present how Cloud Computing contributes to IoT-based Big Data, aiming to fill a scientific gap in the sector of their integration regarding security and privacy. Finally, we additionally survey the security challenges of the integrated model of BD and CC and then propose a novel security algorithm for sustainable Cloud systems in a Digital Twin scenario. The experimental results presented are based on the use of the encryption algorithms AES, RC5, and RSA, and our proposed model extends the advances of CC and IoT-based BD, offering a highly novel and scalable service platform to achieve better privacy and security services."
Digital Twin and Cybersecurity,Asma Irfan,2024,10.37962/icydd/2024/23-24,https://www.semanticscholar.org/,
Digital Twin and Meta RL Empowered Fast-Adaptation of Joint User Scheduling and Task Offloading for Mobile Industrial IoT,"Hansong Xu, Jun Wu, Qianqian Pan, Xing Liu, Christos V. Verikoukis",2023,10.1109/jsac.2023.3310081,https://www.semanticscholar.org/,"The industrial Internet of Things (IoT) system is integrated with the emerging artificial intelligence (AI) paradigms to empower industrial automation and self-evolving capabilities. AI-driven resource allocation across cyber-physical domains for mobile industrial IoT must consider its fundamental requirements and key characteristics such as high reliability, low latency, and environmental dynamics. The challenge is twofold. Industrial systems are fault-sensitive, which makes them intolerable of trial-and-error-based learning and optimization approaches. In addition, learning models cannot adapt to changing industrial IoT environment with dynamic communication noise and machinery disturbances. In this paper, we propose joint optimization for the nonorthogonal multiple access (NOMA) and multi-tier hybrid cloud-edge computing empowered industrial IoT that results in improved utilization of communication and computing resources. Second, we establish the fine-grained digital twin for industrial IoT (DT-IIoT) to simulate the changing industrial environment to support trial-and-error-based safe learning. Third, we leverage meta reinforcement learning (meta RL) to improve the generalization and fast adaptation of the learning models for DT-IIoT. Finally, the feasibility and efficiency of these schemes are evaluated through extensive experiments."
Management of Digital Twin-Driven IoT Using Federated Learning,"S. Abdulrahman, Safa Otoum, Ouns Bouachir, A. Mourad",2023,10.1109/jsac.2023.3310102,https://www.semanticscholar.org/,"Internet of Things (IoT), Digital Twin (DT), and Federated Learning (FL) are redefining the future vision of globalization. While IoT is about sensing data from physical devices, DTs reflect their digital representation and enable optimized decision-making by tightly integrating Artificial Intelligence (AI). Although swiftly growing, DTs are raising new challenges in privacy concerns, which are nowadays addressed by FL. However, the limited IoT resources, the communication overhead, and the lack of trust among clients are major obstacles that hinder the effectiveness of learning systems. In this paper, we design a new IoT-based architecture empowered by DT to improve the efficiencies of limited-resources devices. On top of this architecture, we leverage FL to construct the DT models. We further propose CISCO-FL, a Clustered FL with Intelligent Selection and Computation Offloading. Particularly, we study the computing resources of the clients and the quality of their models, and we embed in the proposed approach an intelligent offloading model, where the clients with high computational resources can assist and optimize the model of those struggling with limited resources. As such, both communication cost and computation resources are reduced and optimized. Finally, thorough experimental results are presented to support our findings and validate our model."
An Intelligent Digital Twin Method Based on Spatio-Temporal Feature Fusion for IoT Attack Behavior Identification,"Huan Wang, Xiaoqiang Di, Yan Wang, Bin Ren, Ge Gao, Junyi Deng",2023,10.1109/jsac.2023.3310091,https://www.semanticscholar.org/,"Network attack identification effectively secures Internet of Things (IoT) application scenarios. However, dynamic scene changes, attack feature reliance, high data dimensions, and challenges with spatio-temporal feature fusion frequently pose limitations to attack traffic identification in IoT contexts. Definitive intelligent IoT attack identification enables intelligent algorithms to extract attack features for application scenarios with fixed topological environments but cannot construct the intricate changes of IoT application scenarios. Through the dynamic acquisition, feature awareness, and deep learning, intelligent digital twin-based attack detection can address these issues and enhance attack identification for IoT threats. Thus, this paper proposed an intelligent digital twin method based on spatio-temporal feature fusion for IoT attack behavior identification. Firstly, feature subsets are selected based on information gain to reduce the dimensionality of IoT data with high traffic; Secondly, a parallel spatio-temporal feature extraction model is designed unlike the existing tandem model, which uses a simplified Convolutional Neural Networks (CNN) model to learn the spatial features of the attack, a Bi-directional Long Short-Term Memory (BiLSTM) model to learn the temporal features of the attack, an attention mechanism to fuse the temporal and spatial features, and the (Deep Neural Networks) DNN to learn the combined features; Finally, the virtual instance space and topology of the attack scenario are simulated using digital twin (DT) to build a digital version of the complex system for IoT applications and tested in a simulation environment. Based on experimental results using the UNSW-NB15 and CICIDS2017 datasets, this paper shows that the proposed method can extract spatio-temporal features from network attack traffic and has a 5% improvement in test accuracy."
A Dynamic Hierarchical Framework for IoT-Assisted Digital Twin Synchronization in the Metaverse,"Yue Han, Dusist Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, X. Shen, Chunyan Miao",2023,10.1109/jiot.2022.3201082,https://www.semanticscholar.org/,"Metaverse, also known as the Internet of 3-D worlds, has recently attracted much attention from both academia and industry. Each virtual subworld, operated by a virtual service provider (VSP), provides a type of virtual service. Digital twins (DTs), namely, digital replicas of physical objects, are key enablers. Generally, a DT belongs to the party that develops it and establishes the communication link between the two worlds. However, in an interoperable metaverse, data-like DTs can be “shared” within the platform. Therefore, one set of DTs can be leveraged by multiple VSPs. As the quality of the shared DTs may not always be satisfying, in this article, we propose an agile solution, i.e., a dynamic hierarchical framework, in which a group of Internet of Things devices in the lower level are incentivized to collectively sense physical objects’ status information and VSPs in the upper level determine synchronization intensities to maximize their payoffs. We adopt an evolutionary game approach to model the devices VSP selections and a simultaneous differential game to model the optimal synchronization intensity control problem. We further extend it as a Stackelberg differential game by considering some VSPs to be first movers. We provide open-loop solutions based on the control theory for both formulations. We theoretically and experimentally show the existence, uniqueness, and stability of the equilibrium to the lower level game and further provide a sensitivity analysis for various system parameters. Experiments show that the proposed dynamic hierarchical game outperforms the baseline."
Wait for Fresh Data? Digital Twin Empowered IoT Services in Edge Computing,"Jing Li, Song Guo, W. Liang, Jie Wu, Quan Chen, Zichuan Xu, Wenzheng Xu, Jianping Wang",2023,10.1109/mass58611.2023.00056,https://www.semanticscholar.org/,"The Mobile Edge Computing (MEC) paradigm gives impetus to the vigorous advancement of Internet of Things (IoT), through provisioning low-latency computing services at network edges. The emerging digital twin technique has grown in the community of IoT, and bridges the gap between physical objects and their digital representations in MEC, thereby enabling real-time data analysis, simulating the dynamics of systems, and optimizing network resource allocation. In this paper, we consider query services for various IoT applications in an MEC network, built upon digital twin data in the network, with the aim to optimize the freshness of query results, measured by the Age of Information (AoI) and query service delays simultaneously. We first formulate a novel minimization problem that explores a nontrivial trade-off between these two critical yet conflicted optimization objectives, and show the NP-hardness of the problem. We then propose an approximation algorithm for the problem with a provable approximation ratio, at the expense of a moderate computing resource violation. We finally evaluate the performance of the proposed algorithm via simulations. Simulation results demonstrate that the proposed algorithm is promising, and outperforms the benchmarks, improving by no less than 18.9% of the performance in comparison with that of the baseline algorithms."
Digital Twin Middleware for Smart Farm IoT Networks,"Lal Verda Çakir, T. Bilen, Mehmet Özdem, Berk Canberk",2023,10.1109/balkancom58402.2023.10167962,https://www.semanticscholar.org/,"Change in agricultural practices is crucial for reaching the Net Zero 2050 target. For this purpose, Digital Twin (DT) technology and IoT technology started to be used. These solutions’ success relies on the performance of the communication between the IoT devices and the DT. However, the current solutions embody scalability, context awareness, and interoperability challenges. To address these, we propose YANG-powered DT Middleware. Moreover, considering the intrinsic characteristics of DT communication, we propose the DT-specific aggregation scheme. As a result, we decrease the latency and round-trip time (RTT) and lower the resource consumption in IoT devices. Moreover, context-aware communication in DT-based Farming is enabled."
Relativistic Digital Twin: Bringing the IoT to the Future,"L. Sciullo, A. Marchi, A. Trotta, Federico Montori, L. Bononi, M. D. Felice",2023,10.1016/j.future.2023.12.016,https://www.semanticscholar.org/,"Complex IoT ecosystems often require the usage of Digital Twins (DTs) of their physical assets in order to perform predictive analytics and simulate what-if scenarios. DTs are able to replicate IoT devices and adapt over time to their behavioral changes. However, DTs in IoT are typically tailored to a specific use case, without the possibility to seamlessly adapt to different scenarios. Further, the fragmentation of IoT poses additional challenges on how to deploy DTs in heterogeneous scenarios characterized by the usage of multiple data formats and IoT network protocols. In this paper, we propose the Relativistic Digital Twin (RDT) framework, through which we automatically generate general-purpose DTs of IoT entities and tune their behavioral models over time by constantly observing their real counterparts. The framework relies on the object representation via the Web of Things (WoT), to offer a standardized interface to each of the IoT devices as well as to their DTs. To this purpose, we extended the W3C WoT standard in order to encompass the concept of behavioral model and define it in the Thing Description (TD) through a new vocabulary. Finally, we evaluated the RDT framework over two disjoint use cases to assess its correctness and learning performance, i.e., the DT of a simulated smart home scenario with the capability of forecasting the indoor temperature, and the DT of a real-world drone with the capability of forecasting its trajectory in an outdoor scenario. Experiments show that the generated DT can estimate the behavior of its real counterpart after an observation stage, regardless of the considered scenario."
Unified Environment for Real Time Control of Hybrid Energy System Using Digital Twin and IoT Approach,"Lamine Chalal, Allal Saadane, A. Rachid",2023,10.3390/s23125646,https://www.semanticscholar.org/,"Today, climate change combined with the energy crisis is accelerating the worldwide adoption of renewable energies through incentive policies. However, due to their intermittent and unpredictable behavior, renewable energy sources need EMS (energy management systems) as well as storage infrastructure. In addition, their complexity requires the implementation of software and hardware means for data acquisition and optimization. The technologies used in these systems are constantly evolving but their current maturity level already makes it possible to design innovative approaches and tools for the operation of renewable energy systems. This work focuses on the use of Internet of Things (IoT) and Digital Twin (DT) technologies for standalone photovoltaic systems. Based on Energetic Macroscopic Representation (EMR) formalism and the Digital Twin (DT) paradigm, we propose a framework to improve energy management in real time. In this article, the digital twin is defined as the combination of the physical system and its digital model, communicating data bi-directionally. Additionally, the digital replica and IoT devices are coupled via MATLAB Simulink as a unified software environment. Experimental tests are carried out to validate the efficiency of the digital twin developed for an autonomous photovoltaic system demonstrator."
Digital Twin-Empowered Resource Allocation for 6G-Enabled Massive IoT,"Elif Bozkaya, Berk Canberk, Stefan Schmid",2023,10.1109/iccworkshops57953.2023.10283649,https://www.semanticscholar.org/,"6G technology is expected to lead to an unpredictable increase of Internet of Things (IoT) devices. The need for maintaining continuous connectivity of these devices has in turn led to re-thinking of the traditional design of wireless networks. In particular, the integration of 6G and Digital Twin (DT) is expected to reshape the network management as it offers powerful features in design, development and optimization processes. DT is a digital representation of physical entities, which are designed around a two-way information flow. Therefore, this technology not only collects data, and employs intelligent learning methods by performing complex computations, but it also can send feedback to improve system performance for 6G-enabled massive IoT. However, deploying such a technology requires addressing complex challenges such as limited resources, seamless connectivity and lack of trust between end users and network edge. To address these challenges, we formulate the resource allocation problem including edge computation and service migration in 6G-enabled massive IoT. The contributions are threefold: First, our DT-empowered architecture is proposed that uses the real-time and historical data from end users to find the best allocation at a user. Second, it studies the impact of trust relationship between computing entities to prevent the unauthorized accesses and provides an authentication procedure. Third, it describes a Multi-Agent Reinforcement Learning (MARL) algorithm that consists of cooperative agents and aims to find the best resource allocation strategy by minimizing task processing latency. We validate the proposed DT-empowered architecture to show the reduced processing latency compared to traditional benchmark methods."
Blockchain-Aware Rollbackable Data Access Control for IoT-Enabled Digital Twin,"Saiyu Qi, Xu Yang, Jiahe Yu, Yong Qi",2023,10.1109/jsac.2023.3310061,https://www.semanticscholar.org/,"The rapid development of Internet of Things (IoT) enables digital twin (DT) technology to precisely represent a real product in a virtual space by generating a multitude of IoT data items to record many aspects of the product. To support various DT-based applications, the generated IoT data items need to be shared among multiple parties involving the lifecycle of the product, which raises increasing demand for data access control. The decentralization and tamper-proofing properties of blockchain enable it a promising technology to support immutability protection of shared IoT data items. Meanwhile, to protect the confidentiality of the shared IoT data items, attribute-based encryption (ABE) can be used as a common tool to construct a cryptographic enforced data access control scheme. However, its adoption has been severely hindered by the incompatibility between the immutability of blockchain and secure authority update of cryptographic enforced data access control. In this paper, a blockchain-aware rollbackable data access control scheme (Bdacs) is proposed to reconcile the above tension. Bdacs uses two novel encryption schemes named hierarchical encryption scheme and privacy-preserving rollback re-encryption scheme to realize secure dynamic access control while preserving the immutability of blockchain. We prove the security of Bdacs and evaluate it through theoretical comparison and experimental analysis to confirm its efficiency. This work can serve as a basis of development of future DT-based applications to enable privacy-preserving IoT data-sharing systems deployed on blockchain."
"An ontology-based methodology to establish city information model of digital twin city by merging BIM, GIS and IoT","Jianyong Shi, Zeyu Pan, Liu Jiang, Xiaohui Zhai",2023,10.1016/j.aei.2023.102114,https://www.semanticscholar.org/,
Applications of IoT and digital twin in electrical power systems: A comprehensive survey,"D. Mansour, Mohamed Numair, A. S. Zalhaf, R. Ramadan, M. Darwish, Qi Huang, Mohamed G. Hussien, Omar Abdel-Rahim",2023,10.1049/gtd2.12940,https://www.semanticscholar.org/,
Digital twin-driven SDN for smart grid: A deep learning integrated blockchain for cybersecurity,"P. Kumar, Randhir Kumar, Ahamed Aljuhani, D. Javeed, A. Jolfaei, A. Islam",2023,10.1016/j.solener.2023.111921,https://www.semanticscholar.org/,
Adaptive Caching Scheme for Jointly Optimizing Delay and Energy Consumption in Heterogeneous Digital Twin IoT,"Jingjing Tan, Fengxiao Tang, Ming Zhao, Yusen Zhu",2023,10.1109/tnse.2023.3281398,https://www.semanticscholar.org/,
Digital Twin of Wind Turbine Based on Microsoft® Azure IoT Platform,"Reda Issa, Mostafa S.Hamad, M. Abdel-Geliel",2023,10.1109/cpere56564.2023.10119576,https://www.semanticscholar.org/,"Digital twins are becoming a business imperative, covering the entire lifecycle of an asset, and forming the foundation for connected products and services. Companies that fail to respond will be left behind. Implementing a dynamic cloud model of a physical thing or system such as wind turbine that relies on live streaming data will help to understand its states, respond to changes, improve operations, and add value to its Key Performance Indicators (KPIs) such as reliability, availability, maintenance cost and associated risks. This paper contributes to build a power prediction digital twin for a wind turbine’s generic model guided by IEC 61400-25, IEC 61400-27-1-2020 (Type 4A) via utilizing the data analytics of Microsof to Azure IoT mechanisms along with decentralized decisions of Machine Learning (ML) in such way utilizing its strengths in physics-based, data-driven modeling and the hybrid analysis approaches. The proposed modeling technique can help the scientific community in building long-term maintenance models for wind farms considering maintenance opportunities and condition prediction, as well as evaluating the machine performance including maintenance costs and production losses."
Digital Twin for Intelligent Context-Aware IoT Healthcare Systems,"Haya Elayan, Moayad Aloqaily, M. Guizani",2021,10.1109/jiot.2021.3051158,https://www.semanticscholar.org/,"Since the emergence of digital and smart healthcare, the world has hastened to apply various technologies in this field to promote better health operation and patients’ well being, increase life expectancy, and reduce healthcare costs. One promising technology and game changer in this domain is digital twin (DT). DT is expected to change the concept of digital healthcare and take this field to another level that has never been seen before. DT is a virtual replica of a physical asset that reflects the current status through real-time transformed data. This article proposes and implements an intelligent context-aware healthcare system using the DT framework. This framework is a beneficial contribution to digital healthcare and to improve healthcare operations. Accordingly, an electrocardiogram (ECG) heart rhythms classifier model was built using machine learning to diagnose heart disease and detect heart problems. The implemented models successfully predicted a particular heart condition with high accuracy in different algorithms. The collected results have shown that integrating DT with the healthcare field would improve healthcare processes by bringing patients and healthcare professionals together in an intelligent, comprehensive, and scalable health ecosystem. Also, implementing an ECG classifier that detects heart conditions gives the inspiration for applying ML and artificial intelligence with different human body metrics for continuous monitoring and abnormalities detection. Finally, neural-network-based algorithms deal better with ECG data than traditional ML algorithms."
Hybrid IoT-Edge-Cloud Computing-based Athlete Healthcare Framework: Digital Twin Initiative,"Shtwai Alsubai, Mohemmed Sha, Abdullah Alqahtani, Munish Bhatia",2023,10.1007/s11036-023-02200-z,https://www.semanticscholar.org/,
Adaptive Digital Twin Server Deployment for Dynamic Edge Networks in IoT System,"Hui Zhang, Tianxiang Luo, Qianqian Wang",2023,10.1109/iccc57788.2023.10233465,https://www.semanticscholar.org/,"Due to the heterogeneity and dynamicity of mobile edge computing (MEC) networks, providing users with high-quality services presents a significant challenge. However, the existing solutions primarily focus on adjusting user association policies to enable real-time interaction with their corresponding digital twin (DT), ignoring the critical role of an efficient deployment mechanism for digital twin servers (DTSs). In this paper, a two-tier DT model for dynamic edge networks is first designed that captures the real-time edge network dynamics and service requirements. Furthermore, a multi-stage adaptive joint deployment optimization algorithm (Multi-AJDO) is proposed, which involves two optimization stages. Specifically, the initial deployment of the DTSs is realized by using the historical operational status information of the MEC systems. Then, the DTSs capture the dynamic changes of the MEC systems in real-time and dynamically update the deployment accordingly. Numerical experiments verify the effectiveness of the proposed Multi-AJDO algorithm in terms of response latency, workload, and energy consumption."
TwinSync: A Digital Twin Synchronization Protocol for Bandwidth-Limited IoT Applications,"Deepti Kalasapura, Jinyang Li, Shengzhong Liu, Yizhuo Chen, Ruijie Wang, T. Abdelzaher, Matthew Caesar, Joydeep Bhattacharyya, Jae H. Kim, Guijun Wang, Greg Kimberly, Josh D. Eckhardt, Denis Osipychev",2023,10.1109/icccn58024.2023.10230154,https://www.semanticscholar.org/,"Digital Twins are evolving as a key component in modern systems with diverse applications like remote prognostics, optimizing run-time operation, anomaly detection, and more. The essential elements of a digital twin are a virtual representation, a physical asset, and the transfer of data/information between the two. IoT deployments are generally characterized by resource constraints, making synchronization of digital twins with IoT devices more challenging. There is a pressing need to optimize the bandwidth of the data transferred between the system and the twin, while ensuring that the twin is able to capture selected key aspects of the current operational state accurately. In this paper, we present TwinSync, a framework that can be utilized to construct flexible real-time representations of deployed IoT systems and efficiently synchronize relevant system states with the twin, over a communication bottleneck, within a configurable application-specific notion of error (henceforth referred to as approximate synchronization). Our approach is optimized to achieve data transfers utilizing less bandwidth without compromising the ability of the twin to replicate real-time system states within the specified approximate synchronization semantics. We evaluate the efficacy of TwinSync's synchronization by conducting both a synthetic analysis and a case study based on a real-life application prototype. Our evaluation indicates that using TwinSync can provide the same or greater accuracy (in many cases) while sending significantly fewer bytes than a bandwidth-insensitive synchronization approach. The result is attributed to a more judicial selection of data to transmit over bottlenecks, compared to bandwidth-insensitive approaches."
Blockchain-based Robust SDN Framework for Digital Twin-Enabled IoT Networks,"Aditya Bhardwaj, Rajat Chaudhary, Anjum Mohd Aslam, Ishan Budhiraja",2023,10.1109/vtc2023-fall60731.2023.10333591,https://www.semanticscholar.org/,"To promote interaction between physical IoT assets and digital services, the rapid expansion of the Internet of Things (IoT) necessitates digitizing industrial processes. Integrating digital twins into an IoT network enables real-time virtualization of physical entities, allowing for efficient real-time control, rapid maintenance, and better decision-making. Furthermore, a digital twin-enabled IoT network may generate a vast amount of data, posing storage, processing, and security difficulties. In this study, we presented a blockchain and software-defined networking (SDN) integrated framework for offering decentralized and secure data operations in IoT networks to address these concerns. To filter malicious packets, the proposed system incorporates a packet analyzer and feature extraction modules at the SDN control layer. The blockchain is then constructed using an elliptic curve point technique for authenticating IoT devices. The results reveal that, when compared to the existing model, our suggested approach performs significantly better in terms of latency and throughput."
GRU-based digital twin framework for data allocation and storage in IoT-enabled smart home networks,"S. Singh, Manish Kumar, Sudeep Tanwar, Jong Hyuk Park",2023,10.1016/j.future.2023.12.009,https://www.semanticscholar.org/,
Digital Twin-Based Automated Fault Diagnosis in Industrial IoT Applications,"S. Alshathri, Ezz El-Din Hemdan, Walid El-Shafai, A. Sayed",2023,10.32604/cmc.2023.034048,https://www.semanticscholar.org/,
Sustainable Resource Allocation and Reduce Latency Based on Federated-Learning-Enabled Digital Twin in IoT Devices,"Mohammed A. Alhartomi, A. Salh, L. Audah, Saeed Alzahrani, Ahmed Alzahmi, M. Altimania, Abdulaziz Alotaibi, Ruwaybih Alsulami, O. Al-Hartomy",2023,10.3390/s23167262,https://www.semanticscholar.org/,"In this article, we utilize Digital Twins (DT) with edge networks using blockchain technology for reliable real-time data processing and provide a secure, scalable solution to bridge the gap between physical edge networks and digital systems. Then, we suggest a Federated Learning (FL) framework for collaborative computing that runs on a blockchain and is powered by the DT edge network. This framework increases data privacy while enhancing system security and reliability. The provision of sustainable Resource Allocation (RA) and ensure real-time data-processing interaction between Internet of Things (IoT) devices and edge servers depends on a balance between system latency and Energy Consumption (EC) based on the proposed DT-empowered Deep Reinforcement Learning (Deep-RL) agent. The Deep-RL agent evaluates the performance action based on RA actions in DT to distribute its bandwidth resources to IoT devices based on iteration and the actions taken to generate the best policy and enhance learning efficiency at every step. The simulation results show that the proposed Deep-RL-agent-based DT is able to exploit the best policy, select 47.5% of computing activities that are to be carried out locally with 1 MHz bandwidth and minimize the weighted cost of the transmission policy of edge-computing strategies."
Threat intelligence using Digital Twin honeypots in Cybersecurity,"Maria Nintsiou, Elisavet Grigoriou, P. Karypidis, Theocharis Saoulidis, Eleftherios Fountoukidis, Panos Sarigiannidis",2023,10.1109/csr57506.2023.10224997,https://www.semanticscholar.org/,"Digital Twins have been deployed for multiple purposes in Cybersecurity. Cyber-Physical Systems and similar systems are benefited from teaming with this technology. The goal of protecting the main systems or devices is easily reached as Digital Twins are known for their success and flexibility in multitasking and can provide adaptability to any device they clone. honeypots are excellent filtering and protection cyber tools capable of investigating and logging malicious activity around a network or device. This cyber tool mimics any network device or system and lures the attacker into a protected surveillance environment. It is not yet given the freedom, though, to act independently other than managing a few tasks and necessitates human intervention to change tactics or configuration. The framework proposed in this paper combines these two technologies, Digital Twins and honeypot, to fill this gap. The DiTwinIHon framework makes the physical honeypot easily adaptable in any network situation while enhancing its Threat Intelligence and providing additional features for detecting and investigating various threats, such as Advanced Persistent Threats."
A Survey on Cybersecurity in IoT,"Elias Dritsas, M. Trigka",2025,10.3390/fi17010030,https://www.semanticscholar.org/,"The proliferation of the Internet of Things (IoT) has transformed the digital landscape, enabling a vast array of interconnected devices to communicate and share data seamlessly. However, the rapid expansion of IoT networks has also introduced significant cybersecurity challenges. This paper presents a comprehensive survey of cybersecurity in the IoT ecosystem, examining the current state of research, identifying critical security vulnerabilities, and exploring advanced strategies for mitigating threats. The survey covers various facets of IoT security, including device authentication, data integrity, privacy, network security, and the emerging role of artificial intelligence (AI) in bolstering cybersecurity defenses. By synthesizing existing research and highlighting ongoing challenges, this survey aims to provide a holistic understanding of IoT cybersecurity and to guide future research endeavors."
